Symbol,Name
AB..L,Alliance Boots
ABDN.L,Abrdn
ABF.L,Associated British Foods
AHM.L,Amersham
AL..L,Alliance & Leicester
ALLD.L,Allied Domecq
ANL.L,Abbey National
ASDA.L,Asda Group Plc
AV/.L,Aviva PLC
BA/.L,BAE Systems PLC
BAA.L,BAA
BARC.L,Barclays PLC
BATS.L,B.A.T. Industries Plc
BAY.L,British Airways
BBY.L,Balfour Beatty
BG..L,BG Group
BGY.L,British Energy
BHP.L,BHP Group Plc
BLND.L,British Land Co
BOC.L,BOC
BP/.L,BP PLC
BSCT.L,Bank of Scotland
BST.L,British Steel
BT/A.L,British Telecommunications
BTR.L,BTR
BTRW.L,Barratt Redrow PLC
CCL.L,Carnival
CCM.L,Carlton Communication
CNA.L,Centrica
CW..L,Cable & Wireless
DGE.L,Diageo PLC
DSGI.L,DSG International
DXNS.L,Dixons
EMI.L,EMI Group
ENT.L,Entain PLC
ETO.L,Enterprise Oil
EXL.L,Exel
FCIT.L,Foreign & Col Inv Trust
FERG.L,Ferguson
FLG.L,Friends Life Group
FLTR.L,Flutter Entertainment
GA..L,General Accident
GEC.L,General Electric Company
GKN.L,GKN
GLXO.L,Glaxo Wellcome
GRA.L,Granada Group
GRE.L,Guardian Royal Exchange PLC
GSK.L,SmithKline Beecham
GUS.L,GUS
HAS.L,Hays
HFX.L,Halifax Group
HSBA.L,HSBC Holdings PLC
IAG.L,International Consolidated Airlines Group SA
ICI.L,Imperial Chemical Industries
IHG.L,InterContinental Hotels Group PLC
III.L,3i Group
IMB.L,Imperial Brands PLC
INTU.L,Intu Properties
IPR.L,International Power
ISYS.L,Invensys
ITV.L,ITV
IVZ.L,Invesco Plc
JD/.L,JD Sports Fashion PLC
KGF.L,Kingfisher
LAD.L,Ladbrokes
LAND.L,Land Securities Group PLC
LASMO.L,London and Scottish Marine Oil
LGEN.L,Legal & General Group PLC
LLOY.L,Lloyds Banking Group PLC
LVA.L,LucasVarity
MAB.L,Mitchells & Butlers
MAM.L,Mercury Asset Management
MKS.L,Marks and Spencer Group
MNG.L,M&G PLC
NAM.L,Nycomed Amersham
NG/.L,National Grid PLC
NU..L,Norwich Union Plc
NWG.L,NatWest
NXT.L,Next
OGE.L,Orange Plc
PNN.L,Pennon Group
PO..L,P & O
PRU.L,Prudential PLC
PSON.L,Pearson PLC
PWG.L,PowerGen
REL.L,RELX PLC
RIO.L,Rio Tinto PLC
RKT.L,Reckitt Benckiser Group PLC
RNK.L,Rank Group
RR/.L,Rolls Royce
RS1.L,RS Group
RSA.L,Royal & Sun Alliance Insurance Group
RTK.L,Railtrack Group
RTO.L,Rentokil
SBRY.L,J Sainsbury PLC
SCTN.L,Scottish & Newcastle
SDR.L,Schroders
SFW.L,Safeway
SHEL.L,Shell Transport & Trading Co
SIE.L,Siebe
SKY.L,Sky
SLPH.L,SLPH
SMIN.L,Smiths Industries
SN/.L,Smith & Nephew PLC
SPW.L,Scottish Power
STAN.L,Standard Chartered PLC
SVT.L,Severn Trent
TEG.L,The Energy Group
TMW.L,Thames Water
TOMK.L,Tomkins
TRI.L,Thomson Reuters
TSCO.L,Tesco PLC
UBM.L,United Business Media
ULVR.L,Unilever PLC
UU/.L,United Utilities Group PLC
VOD.L,Vodafone Group PLC
WMS.L,Williams
WOL.L,Woolwich
WOS.L,Wolseley
WTB.L,Whitbread
ZEN.L,Zeneca
