Symbol,Name
AC.MX,Arca Continental
ALFAA.MX,Alfa-A
AMXL.MX,America Movil-L
ARA.MX,Consorcio Ara
ASURB.MX,ASUR -B
AXTELCPO.MX,Axtel CPO
AZTECACPO.MX,TV AZTECA CPO
BIMBOA.MX,Grupo Bimbo SAB de CV
BOLSAA.MX,Bolsa Mexicana-A
CHDRAUIB.MX,Grupo Comercial-B
COMPARC.MX,Compartamos
ELEKTRA.MX,Grupo Elektra
FEMSAUBD.MX,Fomento Econom Uts
GAPB.MX,Grupo Aero Pac-B
GCARSOA1.MX,Grupo Carso SAB de CV
GEOB.MX,Geo-B
GFINBURO.MX,Grupo Financ-O
GFNORTEO.MX,Grupo Fin Banorte-O
GMEXICOB.MX,Grupo Mexico SAB de CV
GMODELOC.MX,Grupo Modelo-C
GRUMAB.MX,Gruma SAB de CV
HOMEX.MX,Desarrollador Homex
ICA.MX,Empresas ICA SAB de CV
ICHB.MX,Industrias CH SAB de CV
KIMBERA.MX,KIMBERLY-CLARK DE MEXICO SAB D
KOFL.MX,Coca-Cola Femsa-L
LABB.MX,Genomma Lab-B
MEXCHEM.MX,Mexichem
MFRISCOA-1.MX,Mineras Frisco-A-1
OHLMEX.MX,OHL Mexico
OMAB.MX,Grupo Aeroport-B
PE&OLES.MX,Industrias Penoles SAB de CV
SIMECB.MX,Grupo Simec SAB de CV
SORIANAB.MX,Organizacion Soriana SAB de CV
TLEVISACPO.MX,Grupo Televisa S.A.B
URBI.MX,Urbi Desarroll
WALMEXV.MX,Wal-Mart-V
