Symbol,Name
ACC,ACC
AMBUJACEM,AMBUJACEM
ASIANPAINT,ASIANPAINT
AXISBANK,AXISBANK
BAJAJAUTO,BAJAJAUTO
BANKBARODA,BANKBARODA
BHARTIARTL,BHARTIARTL
BHEL,BHEL
BPCL,BPCL
CAIRN,CAIRN
CIPLA,CIPLA
COALINDIA,COALINDIA
DLF,DLF
DRREDDY,DRREDDY
GAIL,GAIL
GRASIM,GRASIM
HCLTECH,HCLTECH
HDFC,HDFC
HDFCBANK,HDFCBANK
HEROMOTOCO,HEROMOTOCO
HINDALCO,HINDALCO
HINDUNILVR,HINDUNILVR
ICICIBANK,ICICIBANK
IDFC,IDFC
INDUSINDBK,INDUSINDBK
INFY,INFY
ITC,ITC
JINDALSTEL,JINDALSTEL
KOTAKBANK,KOTAKBANK
LT,LT
LUPIN,LUPIN
M&M,M&M
MARUTI,MARUTI
NMDC,NMDC
NTPC,NTPC
ONGC,ONGC
PNB,PNB
POWERGRID,POWERGRID
RELIANCE,RELIANCE
SBIN,SBIN
SUNPHARMA,SUNPHARMA
TATAMOTORS,TATAMOTORS
TATAPOWER,TATAPOWER
TATASTEEL,TATASTEEL
TCS,TCS
TECHM,TECHM
ULTRACEMCO,ULTRACEMCO
VEDL,VEDL
WIPRO,WIPRO
ZEEL,ZEEL
