Symbol,Name
AAV.TO,Advantage Oil Rg
ABT.TO,Absolute Softwar Rg
ABX.TO,Barrick Gold Rg
AC.TO,Air Canada Vtg
ACO.X.TO,Atco Non Vtg Rg-I
ACQ.TO,AutoCanada Rg
AD.TO,Alaris Royalty Rg
AEM.TO,Agnico Eagle Min Rg
AFN.TO,AG Growth Intl Rg
AGF.B.TO,Agf Mgmt -B-
AGI.TO,Alamos Gold Rg-A
AGT.TO,AGT Food Ingred Rg
AIF.TO,Altus Group Rg
AIM.TO,Aimia Rg
ALA.TO,AltaGas Rg
ALS.TO,Altius Minerals Rg
AP.UN.TO,Allied Ppties Tr Ut
AQN.TO,Alg Pwr & Util Rg
AR.TO,Argonaut Gold Rg
ARX.TO,ARC Res Rg
ASR.TO,Alacer Gold Rg
ATA.TO,ATS Automation T Rg
ATD.B.TO,Aliment Couche -B
ATH.TO,Athabasca Oil Rg
ATP.TO,Atlantic Power Rg
ATZ.TO,Aritzia Sub Vtg
AW.UN.TO,A&W Revenue Fd Uts
AX.UN.TO,Artis REIT- TU
BAD.TO,Badger Daylight Rg
BAM.A.TO,Brookfield LVtgRg-A
BB.TO,Blackberry Rg
BBD.B.TO,Bombardier SV Rg-B
BCB.TO,Cott Rg
BCE.TO,BCE Rg
BDT.TO,Bird Constructio Rg
BEI.UN.TO,Boardwalk REIT TU
BIR.TO,Birchcliff Energ Rg
BLX.TO,Boralex Rg-A
BMO.TO,Bk Of Montreal Rg
BNE.TO,Bonterra Energy Rg
BNP.TO,Bonavista Egy Rg
BNS.TO,Bk of Nova Scoti Rg
BPF.UN.TO,Boston Pizza TU
BTE.TO,Baytex Egy Rg
BTO.TO,B2Gold Rg
BYD.UN.TO,Boyd Group Tr Uts
CAE.TO,CAE Rg
CAR.UN.TO,Cdn Apt Ppty TU
CAS.TO,Cascades Rg
CCA.TO,Cogeco Communica Rg
CCL.B.TO,CCL In Non Vtg-B Rg
CCO.TO,Cameco Rg
CEU.TO,CES Energy Soltn Rg
CF.TO,Canaccord Genuit Rg
CFP.TO,Canfor Corp Rg
CFW.TO,Calfrac Well Ser Rg
CFX.TO,Canfor Pulp
CG.TO,Centerra Gold Rg
CGG.TO,China Gold Intl Rg
CGO.TO,Cogeco
CGX.TO,Cineplex Rg
CHE.UN.TO,Chemtrade Logistics
CHR.TO,Chorus Aviat V&VVtg
CIGI.TO,Colliers Int Grp SV
CIX.TO,CI Financial Rg
CJR.B.TO,Corus Ent NVtg-B
CLS.TO,Celestica SVTG
CM.TO,Cdn Imperial Ban Rg
CMG.TO,Computer Modelli Rg
CNE.TO,Canacol Energy Rg
CNL.TO,Continental Gold
CNQ.TO,Cdn Natural Res Rg
CNR.TO,Canadian Natl Rl Rg
CP.TO,CDN Pacific Rail Rg
CPG.TO,Crescent Pt Egy Rg
CPX.TO,Capital Power Rg
CR.TO,Crew Energy Rg
CRR.UN.TO,Cromb REIT TU
CS.TO,Capstone Mining Rg
CSH.UN.TO,Chart Retir TU
CSU.TO,Constellation So Rg
CTC.A.TO,Cdn Tire Corp -A-
CU.TO,Cdn Utilit-A-NVtg
CUF.UN.TO,Cominar Estate Tr
CVE.TO,Cenovus Energy Rg
CWB.TO,Canadian Western Rg
D.UN.TO,Dream Off REIT Rg-A
DGC.TO,Detour Gold Rg
DII.B.TO,Dorel Ind Svtg-B-
DML.TO,Denison Mines Rg
DOL.TO,Dollarama Rg
DPM.TO,Dundee Precious  Rg
DR.TO,Medical Faciliti Rg
DRG.UN.TO,Dream Glb REIT
DRM.TO,DREAM SVtg Rg-A
