Symbol,Name
1COV.DE,Covestro AG
ADS.DE,adidas AG
ALV.DE,Allianz SE
AROG.DE,Karstadt
BAS.DE,BASF SE
BAYN.DE,Bayer AG
BEI.DE,Beiersdorf AG
BMW.DE,Bayerische Motoren Werke AG
CON.DE,Continental AG
DB1.DE,Deutsche Boerse AG
DBK.DE,Deutsche Bank AG
DHL.DE,Deutsche Post AG
DTE.DE,Deutsche Telekom AG
FME.DE,Fresenius Medical Care AG
FRE.DE,Fresenius SE & Co KGaA
HEI.DE,Heidelberg Materials AG
HEN3.DE,Henkel AG & Co KGaA
IFX.DE,Infineon Technologies AG
LHA.DE,Deutsche Lufthansa
LIN.DE,Linde
MRK.DE,Merck KGaA
MTX.DE,MTU Aero Engines AG
MUV2.DE,Muenchener Rueckversicherungs-Gesellschaft AG in Muenchen
RWE.DE,RWE AG
SAP.DE,SAP SE
SIE.DE,Siemens AG
VNA.DE,Vonovia SE
VOW3.DE,Volkswagen AG
WDI.DE,Wirecard AG
