Symbol,Name
AALR3.SA,Alliar Rg
ABCB4.SA,ABC Br Pfd Rg
ABEV3.SA,Ambev SA
AERI3.SA,Aeris Industria Rg
AESB3.SA,AES BRAS ENERG RG
AFYA.SA,AFYA LTD CL A CMN SH
AGRO3.SA,BrasilAgro NM Rg
ALPA4.SA,Alpargatas Pfd N1
ALSO3.SA,Aliansce Sonae Rg
ALUP11.SA,Alupar Invst Uts N2
AMAR3.SA,Marisa Lojas NM Rg
AMBP3.SA,Ambipar Particip Rg
AMER3.SA,Americanas Rg
ANIM3.SA,Anima Hldg NM Rg
ARCE.SA,ARCO PLATFORM CMN A
ARML3.SA,ARMAC LOCACAO RG
ARZZ3.SA,Arezzo Ind NM Rg
ASAI3.SA,Sendas Distrib Rg
AURE3.SA,Auren Energia Rg
AZUL4.SA,Azul Pfd Rg
B3SA3.SA,B3 Rg
BBAS3.SA,Banco do Brasil NM
BBDC3.SA,Bradesco N1
BBDC4.SA,Bradesco Pfd N1
BBSE3.SA,BB Seguridade Rg
BEEF3.SA,Minerva NM Rg
BIDI11.SA,Banco Inter Uts
BIDI3.SA,Banco Inter Rg
BIDI4.SA,Banco Inter PP Rg
BKBR3.SA,BK Brasil Rg
BOAS3.SA,Boa Vista Serv Rg
BPAC11.SA,Bco BTG Pact Uts
BPAN4.SA,Banco Pan Pfd Rg
BRAP4.SA,Bradespar Pfd Rg
BRBI11.SA,BR Adv Particip Uts
BRFS3.SA,BRF NM Rg
BRKM5.SA,Braskem Pfd Rg-A
BRML3.SA,BR Malls Part NM Rg
BRPR3.SA,BR Properties NM Rg
BRSR6.SA,Banrisul Pfd Rg-B-B
CAML3.SA,Camil Alimentos Rg
CASH3.SA,Meliuz Rg
CBAV3.SA,CIA BRASIL RG
CCRO3.SA,CCR NM Rg
CEAB3.SA,C&A Rg-144A Reg S
CIEL3.SA,Cielo Rg
CMIG3.SA,Cemig N1
CMIG4.SA,Cemig Pfd N1
COGN3.SA,Kroton Educacion Rg
CPLE6.SA,Copel Pfd Rg-B
CRFB3.SA,Atacadao Rg
