Symbol,Name
ABI.BR,AB INBEV
ACKB.BR,Ackermans V Haare
AED.BR,Aedifica
AGS.BR,Ageas
ARGX.BR,argenx Br
BAR.BR,Barco
BEKB.BR,Bekaert
BPOST.BR,Bpost
COFB.BR,Cofinimmo
COLR.BR,Colruyt
DEME.BR,DEME Grp
DIE.BR,D'Ieteren Grp
ELI.BR,ELIA GROUP
EVS.BR,EVS Broadcast Equ
FAGR.BR,Fagron
GBLB.BR,GBL
GIMB.BR,GIMV
GLPG.BR,Galapagos
IBAB.BR,IBA
KBC.BR,KBC Gr
KBCA.BR,KBC Ancora
KIN.BR,Kinepolis Group
MELE.BR,Melexis
ONTEX.BR,Ontex Group
PROX.BR,Proximus
RECT.BR,Recticel
RET.BR,Retail Estates
SIP.BR,Sipef
SOF.BR,Sofina
SOLB.BR,Solvay
SYENS.BR,Syensqo
TESB.BR,Tessenderlo Gr
UCB.BR,UCB
UMI.BR,Umicore
WDP.BR,WDP
XFAB.BR,X-FAB Silicon F
XIOR.BR,Xior St Hous
