Symbol,Name
NVDA,Nvidia
MSFT,Microsoft
AAPL,Apple Inc.
AMZN,Amazon
META,Meta Platforms
AVGO,Broadcom Inc.
GOOGL,Alphabet Inc. (Class A)
GOOG,Alphabet Inc. (Class C)
TSLA,"Tesla, Inc."
NFLX,Netflix
PLTR,Palantir Technologies
COST,Costco
ASML,ASML Holding
AMD,Advanced Micro Devices Inc.
CSCO,Cisco
AZN,AstraZeneca
TMUS,T-Mobile US
LIN,Linde plc
PEP,PepsiCo
MU,Micron Technology
SHOP,Shopify
APP,Applovin Corp
INTU,Intuit
PDD,PDD Holdings
INTC,Intel
BKNG,Booking Holdings
AMAT,Applied Materials
QCOM,Qualcomm
LRCX,Lam Research
ARM,Arm Holdings
AMGN,Amgen
TXN,Texas Instruments
ISRG,Intuitive Surgical
GILD,Gilead Sciences
ADBE,Adobe Inc.
PANW,Palo Alto Networks
KLAC,KLA Corporation
HON,Honeywell
CRWD,CrowdStrike
ADP,ADP
CEG,Constellation Energy
DASH,DoorDash
ADI,Analog Devices
CMCSA,Comcast
MELI,MercadoLibre
VRTX,Vertex Pharmaceuticals
SBUX,Starbucks
CDNS,Cadence Design Systems
MSTR,MicroStrategy Inc.
ORLY,O'Reilly Automotive
SNPS,Synopsys
MDLZ,Mondelez International
CTAS,Cintas
MRVL,Marvell Technology
ABNB,Airbnb
MAR,Marriott International
TRI,Thomson Reuters Corporation
MNST,Monster Beverage
PYPL,PayPal
CSX,CSX Corporation
ADSK,Autodesk
FTNT,Fortinet
AEP,American Electric Power
WDAY,"Workday, Inc."
REGN,Regeneron Pharmaceuticals
DDOG,Datadog
AXON,Axon Enterprise Inc.
ROP,Roper Technologies
FAST,Fastenal
NXPI,NXP Semiconductors
EA,Electronic Arts
IDXX,Idexx Laboratories
ZS,Zscaler
PCAR,Paccar
ROST,Ross Stores
XEL,Xcel Energy
EXC,Exelon
TTWO,Take-Two Interactive
PAYX,Paychex
BKR,Baker Hughes
CPRT,Copart
WBD,Warner Bros. Discovery
FANG,Diamondback Energy
CCEP,Coca-Cola Europacific Partners
TEAM,Atlassian
CHTR,Charter Communications
KDP,Keurig Dr Pepper
VRSK,Verisk
MCHP,Microchip Technology
GEHC,GE HealthCare
CTSH,Cognizant
CSGP,CoStar Group
KHC,Kraft Heinz
ODFL,Old Dominion Freight Line
TTD,Trade Desk (The)
DXCM,DexCom
BIIB,Biogen
LULU,Lululemon Athletica
CDW,CDW Corporation
ON,Onsemi
GFS,GlobalFoundries
