Symbol,Name
ABBN.SW,ABB Rg
ACLN.SW,Accelleron Ind Rg
ADEN.SW,Adecco Group N
ALC.SW,Alcon Rg
ALLN.SW,Allreal Hldg Rg
ALSN.SW,ALSO Holding N
AMRZ.SW,Amrize Rg
APGN.SW,APG SGA N
ARBN.SW,Arbonia N
ARYN.SW,ARYZTA Rg
AUTN.SW,Autoneum Hldg N
AVOL.SW,Avolta N
BAER.SW,Julius Baer Grp N
BANB.SW,BACHEM HLDG Rg
BARN.SW,Barry Callebaut N
BCHN.SW,Burckhardt Compre N
BCVN.SW,BC Vaudoise Rg
BEAN.SW,BELIMO Hldg Rg
BEKN.SW,BEKB N
BELL.SW,Bell Food Gr N
BKW.SW,BKW N
BLKB.SW,BLKB
BOSN.SW,Bossard Hldg N
BRKN.SW,Burkhalter Hldg N
BSKP.SW,KB Basel PS
BSLN.SW,Basilea Pharmaceu N
BUCN.SW,Bucher Industries N
BYS.SW,Bystronic N-A
CFR.SW,CieFinRichemont N
CLN.SW,Clariant N
CMBN.SW,Cembra Money Bk N
COPN.SW,COSMO Pharm
COTN.SW,Comet Hldg Rg
DAE.SW,Daetwyler Hldg I
DKSH.SW,DKSH Hldg N
DOCM.SW,DocMorris N
DOKA.SW,dormakaba Hldg Rg
EFGN.SW,EFG Intl N
EMMN.SW,Emmi N
EMSN.SW,EMS-CHEM HLDG N
FHZN.SW,Flughafen Zuerich N
FORN.SW,Forbo Hldg N
GALD.SW,Galderma Group Rg
GALE.SW,Galenica Rg
GEBN.SW,Geberit N
GF.SW,Georg Fischer Rg
GIVN.SW,Givaudan N
HBAN.SW,Helvetia Bal Hl Rg
HOLN.SW,Holcim N
HUBN.SW,Huber + Suhner N
IDIA.SW,Idorsia Rg
IFCN.SW,INFICON HLDG Rg
IMPN.SW,Implenia N
INRN.SW,Interroll Hldg N
ISN.SW,Intershop Hldg N
KARN.SW,Kardex Hldg N
KNIN.SW,Kuehne+Nagel Int N
KOMN.SW,Komax Hldg N
KURN.SW,Kuros Bioscienc N
LAND.SW,LandisGyr Gr Rg
LEHN.SW,Lem Hldg N
LEON.SW,Leonteq  N
LISN.SW,Lindt & Spruengli N
LISP.SW,Lindt&Spruengli PS
LOGN.SW,Logitech Intl N
LONN.SW,Lonza Grp N
LUKN.SW,Luzerner KB Rg
MEDX.SW,medmix Rg
METN.SW,Metall Zug N -B-
MOBN.SW,Mobimo Hldg N
MOZN.SW,mobilezone hldg N
NESN.SW,Nestle N
NOVN.SW,Novartis N
OERL.SW,OC Oerlikon N
PGHN.SW,Part Grp Hldg N
PLAN.SW,PLAZZA -A- N
PPGN.SW,PolyPeptide Rg
PSPN.SW,PSP Swiss Propert N
RIEN.SW,Rieter Hldg N
ROG.SW,Roche Hldg DR
RSGN.SW,R&S Group Hldg Rg-A
SCHN.SW,Schindler Hldg N
SCHP.SW,SchindlerHldg PC Br
SCMN.SW,Swisscom Rg
SDZ.SW,Sandoz Group Rg
SFSN.SW,SFS Group N
SFZN.SW,Siegfried Hldg Rg
SGKN.SW,St.Galler KB N
SGSN.SW,SGS Rg
SIGN.SW,SIG Group Rg
SIKA.SW,Sika Rg
SLHN.SW,Swiss Life Hldg N
SOON.SW,Sonova Hldg N
SPSN.SW,SPS N
SQN.SW,Swissquote Grp Hl N
SRAIL.SW,Stadler Rail N
SREN.SW,Swiss Re N
STMN.SW,Straumann Hldg Rg
SUN.SW,Sulzer N
SUNN.SW,Sunrise Commun Rg-A
SWON.SW,SoftwOne Hldg Rg
SWTQ.SW,Schweiter Techn Rg
TECN.SW,Tecan Grp N
TEMN.SW,TEMENOS N
UBSG.SW,UBS Group N
UBXN.SW,u-blox Hldg N
UHR.SW,The Swatch Grp Br
UHRN.SW,The Swatch Grp Rg
VACN.SW,VAT Group N
VATN.SW,Valiant Holding N
VETN.SW,Vetropack Hldg Rg-A
VONN.SW,Vontobel Holding N
VZN.SW,VZ Holding Rg
VZUG.SW,V-ZUG Hldg Rg
YPSN.SW,Ypsomed Hldg N
ZEHN.SW,Zehnder Grp -A- N
ZUGER.SW,Zuger KB Rg
ZURN.SW,Zurich Insur Gr N
