Symbol,Name
AGUAS-A.SN,Aguas-A
ANDINA-B.SN,Andina Rg-B
BCI.SN,Credito
BSANTANDER.SN,BSantander Rg
CAP.SN,CAP Rg
CCU.SN,Cervezas
CENCOMALLS.SN,Cencosud Shopp Rg
CENCOSUD.SN,Cencosud Rg
CHILE.SN,Chile Rg
CMPC.SN,CMPC
COLBUN.SN,Colbun Rg
CONCHATORO.SN,Conchatoro
COPEC.SN,COPEC
ECL.SN,Engie Energia Rg
ENELCHILE.SN,Enel Chile
ENTEL.SN,Entel N
FALABELLA.SN,Falabella Rg
IAM.SN,Inversiones Agua Rg
ITAUCL.SN,ITAUCL
LTM.SN,LATAM Airlines G Rg
PARAUCO.SN,Parauco Rg
RIPLEY.SN,Ripley Rg
SMSAAM.SN,Matriz Rg
SMU.SN,SMU Rg
SONDA.SN,Sonda Rg
SQM-B.SN,Soquimich Rg-B
VAPORES.SN,Vapores Rg
