Code, Name, Start
csi300, CSI 300 (沪深300), 2023/07
csi500, CSI 500 (中证500), 2024/02
csi1000, CSI 1000 (中证1000), 2024/02
sse, SSE (上证综指), 2023/07
szse, SZSE (深证成指), 2023/07
nasdaq100, NASDAQ 100, 1995/01/27
sp500, S&P 500, 1970/03/05
dowjones, Dow Jones, 1982/08/30
dax, DAX, 1987/12/30
hsi, HSI (恒生指数), 2023/07
ftse100, FTSE 100, 2023/07
nifty50, NIFTY 50, 2008/01
nqglci, NASDAQ Global Large Cap Index, 2012/12/12
nqbr, NASDAQ Brazil Index, 2012/12/03
nqbrlc, NASDAQ Brazil Large Cap Index, 2012/12/03
nqca, NASDAQ Canada Index, 2012/12/03
nqcalc, NASDAQ Canada Large Cap Index, 2012/12/03
nqmx, NASDAQ Mexico Index, 2012/12/03
nqmxlc, NASDAQ Mexico Large Cap Index, 2012/12/03
